submission_id,response1,startDate,context_picture,experiment_id,picture2,correct1,question1,problems,enjoyment,item,botresponse,correct2,understand,text,condition,sentence,target,age,response,comments,picture1,response3,education,languages,sex,RT,correct3,context,trial_number,startTime,attempts,picture,question3,fairprice,question2,size,response2,trial_name
1169,humming bird,Fri Dec 06 2019 10:44:36 GMT-0500 (Eastern Standard Time),NA,28,warmup/eagle.jpg,hummingbird,This is a ,No,2,birds,Susan,eagle,yes,Please label the pictures below.,NA,NA,NA,57,NA,,warmup/colibri.jpg,birds,graduated_college,English,female,NA,birds,NA,1,1575647076567,1,NA,This is an ,1,These are both,NA,eagle,warmup1
1169,hummingbird,Fri Dec 06 2019 10:44:36 GMT-0500 (Eastern Standard Time),NA,28,warmup/eagle.jpg,hummingbird,This is a ,No,2,birds,Susan,eagle,yes,Please label the pictures below.,NA,NA,NA,57,NA,,warmup/colibri.jpg,birds,graduated_college,English,female,NA,birds,NA,1,1575647076567,2,NA,This is an ,1,These are both,NA,eagle,warmup1
1169,daisy,Fri Dec 06 2019 10:44:36 GMT-0500 (Eastern Standard Time),NA,28,warmup/peony.png,daisy,This is a ,No,2,flowers,Susan,peony,yes,Please label the pictures below.,NA,NA,NA,57,NA,,warmup/daisy.png,flowers,graduated_college,English,female,NA,flowers,NA,2,1575647076567,1,NA,This is a ,1,These are both,NA,rose,warmup1
1169,daisy,Fri Dec 06 2019 10:44:36 GMT-0500 (Eastern Standard Time),NA,28,warmup/peony.png,daisy,This is a ,No,2,flowers,Susan,peony,yes,Please label the pictures below.,NA,NA,NA,57,NA,,warmup/daisy.png,flowers,graduated_college,English,female,NA,flowers,NA,2,1575647076567,2,NA,This is a ,1,These are both,NA,peony,warmup1
1169,swordfish,Fri Dec 06 2019 10:44:36 GMT-0500 (Eastern Standard Time),NA,28,warmup/goldfish.png,swordfish,This is a ,No,2,fish,Susan,goldfish,yes,Please label the pictures below.,NA,NA,NA,57,NA,,warmup/swordfish.jpg,fishes,graduated_college,English,female,NA,fish,NA,3,1575647076567,1,NA,This is a ,1,These are both,NA,jellyfish,warmup1
1169,swordfish,Fri Dec 06 2019 10:44:36 GMT-0500 (Eastern Standard Time),NA,28,warmup/goldfish.png,swordfish,This is a ,No,2,fish,Susan,goldfish,yes,Please label the pictures below.,NA,NA,NA,57,NA,,warmup/swordfish.jpg,fishes,graduated_college,English,female,NA,fish,NA,3,1575647076567,2,NA,This is a ,1,These are both,NA,goldfish,warmup1
1169,swordfish,Fri Dec 06 2019 10:44:36 GMT-0500 (Eastern Standard Time),NA,28,warmup/goldfish.png,swordfish,This is a ,No,2,fish,Susan,goldfish,yes,Please label the pictures below.,NA,NA,NA,57,NA,,warmup/swordfish.jpg,fishes,graduated_college,English,female,NA,fish,NA,3,1575647076567,3,NA,This is a ,1,These are both,NA,goldfish,warmup1
1169,swordfish,Fri Dec 06 2019 10:44:36 GMT-0500 (Eastern Standard Time),NA,28,warmup/goldfish.png,swordfish,This is a ,No,2,fish,Susan,goldfish,yes,Please label the pictures below.,NA,NA,NA,57,NA,,warmup/swordfish.jpg,fish,graduated_college,English,female,NA,fish,NA,3,1575647076567,4,NA,This is a ,1,These are both,NA,goldfish,warmup1
1169,NA,Fri Dec 06 2019 10:44:36 GMT-0500 (Eastern Standard Time),images/fish-parade.png,28,NA,NA,That ,No,2,fish,Susan,NA,yes,You also see this one:,predicative,You say to your friend:,goldfish,57,goldfish,,NA,NA,graduated_college,English,female,,NA,You see the following:,1,1575647076567,NA,images/goldfish.png,NA,1, is small.,small,NA,main1
1169,NA,Fri Dec 06 2019 10:44:36 GMT-0500 (Eastern Standard Time),images/bird-parade2.png,28,NA,NA,That ,No,2,birds,Susan,NA,yes,You also see this one:,predicative,You say to your friend:,hummingbird,57,hummingbird,,NA,NA,graduated_college,English,female,,NA,You see the following:,2,1575647076567,NA,images/hummingbird.png,NA,1, is small.,small,NA,main1
