submission_id,question,response1,target_picture,context_picture,experiment_id,picture2,correct1,trial_type,question1,problems,enjoyment,item,botresponse,trials,correct2,understand,text,sentence,syntax,ref_np,target,age,response,comments,picture1,response3,education,target_size,name,languages,sex,RT,correct3,context,trial_number,startTime,attempts,paraphrase,question3,fairprice,question2,response2,correct,adj_cond,trial_name,adj,utterance
2325,NA,stripmall,NA,NA,35,warmup/skyscraper2.png,stripmall,NA,This is a,no,2,buildings,barbara,NA,skyscraper,yes,Please label the pictures below.,NA,NA,NA,NA,22,NA,NA,warmup/stripmall2.png,buildings,graduated_high_school,NA,NA,english,female,NA,buildings,NA,1,1607628171616,1,NA,This is a,0.5,These are both,skyscraper,NA,NA,warmup1,NA,NA
2325,NA,dandelion,NA,NA,35,warmup/dandelion2.png,sunflower,NA,This is a,no,2,flowers,barbara,NA,dandelion,yes,Please label the pictures below.,NA,NA,NA,NA,22,NA,NA,warmup/sunflower2.png,plants,graduated_high_school,NA,NA,english,female,NA,flowers,NA,2,1607628171616,1,NA,This is a,0.5,These are both,sunflower,NA,NA,warmup1,NA,NA
2325,NA,dandelion,NA,NA,35,warmup/dandelion2.png,sunflower,NA,This is a,no,2,flowers,barbara,NA,dandelion,yes,Please label the pictures below.,NA,NA,NA,NA,22,NA,NA,warmup/sunflower2.png,flowers,graduated_high_school,NA,NA,english,female,NA,flowers,NA,2,1607628171616,2,NA,This is a,0.5,These are both,sunflower,NA,NA,warmup1,NA,NA
2325,NA,dandelion,NA,NA,35,warmup/dandelion2.png,sunflower,NA,This is a,no,2,flowers,barbara,NA,dandelion,yes,Please label the pictures below.,NA,NA,NA,NA,22,NA,NA,warmup/sunflower2.png,flowers,graduated_high_school,NA,NA,english,female,NA,flowers,NA,2,1607628171616,3,NA,This is a,0.5,These are both,sunflower,NA,NA,warmup1,NA,NA
2325,NA,sunflower,NA,NA,35,warmup/dandelion2.png,sunflower,NA,This is a,no,2,flowers,barbara,NA,dandelion,yes,Please label the pictures below.,NA,NA,NA,NA,22,NA,NA,warmup/sunflower2.png,flowers,graduated_high_school,NA,NA,english,female,NA,flowers,NA,2,1607628171616,4,NA,This is a,0.5,These are both,dandelion,NA,NA,warmup1,NA,NA
2325,<i>What do you think Speaker A meant? </i>,NA,NA,NA,35,NA,NA,NA,NA,no,2,NA,barbara,1,NA,yes,NA,"<b> Speaker A: ""The Empire State Building is tall.""</b>",NA,NA,NA,22,buildings,NA,NA,NA,graduated_high_school,NA,comp_class_warmup,english,female,NA,NA,In the main trials you will be asked to rephrase something a person said. The utterance will contain a word that is <i>relative</i> and your task is to figure out what it is relative to. <br /> <br /> For example: <br />,1,1607628171616,1,The Empire State Building is tall relative to other,NA,0.5,NA,NA,"buildings, skyscrapers, houses, constructions (choose one)",NA,comp_class_warmup,NA,NA
2325,What do you think your friend is saying it is big relative to?,NA,images/skyscraper-landmark-filler.png,images/buildings-parade-basic_filler.png,35,NA,NA,filler,NA,no,2,buildings,barbara,NA,NA,yes,Your friend goes ahead of you. You see your friend in the distance:,NA,subj,landmark,skyscraper,22,buildings,NA,NA,NA,graduated_high_school,big,NA,english,female,12919,NA,You and your friend see the following:,1,1607628171616,NA,It is big relative to other,NA,0.5,NA,NA,NA,congruent,custom_main_text1,big,Your friend says: <br/><b>That skyscraper is big.</b>
2325,What do you think your friend is saying it is big relative to?,NA,images/sunflower.png,images/flower-parade-basic.png,35,NA,NA,critical,NA,no,2,flowers,barbara,NA,NA,yes,Your friend goes ahead of you. You see your friend in the distance:,NA,subj,gift,sunflower,22,flowers,NA,NA,NA,graduated_high_school,big,NA,english,female,11832,NA,You and your friend are at a garden store and you see the following:,2,1607628171616,NA,It is big relative to other,NA,0.5,NA,NA,NA,congruent,custom_main_text1,big,Your friend says: <br/><b>That big sunflower is a gift.</b>
2325,What do you think your friend is saying it is small relative to?,NA,images/stripmall-landmark.png,images/buildings-parade-basic.png,35,NA,NA,critical,NA,no,2,buildings,barbara,NA,NA,yes,Your friend goes ahead of you. You see your friend in the distance:,NA,pred,landmark,stripmall,22,stripmalls,NA,NA,NA,graduated_high_school,small,NA,english,female,30969,NA,You visit your friend who lives in another city. You take a walk and you see the following:,3,1607628171616,NA,It is small relative to other,NA,0.5,NA,NA,NA,congruent,custom_main_text1,small,Your friend says: <br/><b>That landmark is a small stripmall.</b>
2325,What do you think your friend is saying it is small relative to?,NA,images/dandelion_filler.png,images/flower-parade-basic_filler.png,35,NA,NA,filler,NA,no,2,flowers,barbara,NA,NA,yes,Your friend goes ahead of you. You see your friend in the distance:,NA,pred,gift,dandelion,22,dandelions,NA,NA,NA,graduated_high_school,small,NA,english,female,11254,NA,You and your friend see the following:,4,1607628171616,NA,It is small relative to other,NA,0.5,NA,NA,NA,congruent,custom_main_text1,small,Your friend says: <br/><b>That's a small dandelion.</b>
2325,NA,pug,NA,NA,35,warmup/great-dane2.png,pug,NA,This is a,no,2,dogs2,barbara,NA,great dane,yes,Please label the pictures below.,NA,NA,NA,NA,22,NA,NA,warmup/pug2.png,dogs,graduated_high_school,NA,NA,english,female,NA,dogs,NA,1,1607628171616,1,NA,This is a,0.5,These are both,great dane,NA,NA,warmup2,NA,NA
2325,NA,doberman,NA,NA,35,warmup/chihuahua2.png,doberman,NA,This is a,no,2,dogs1,barbara,NA,chihuahua,yes,Please label the pictures below.,NA,NA,NA,NA,22,NA,NA,warmup/doberman2.png,dogs,graduated_high_school,NA,NA,english,female,NA,dogs,NA,2,1607628171616,1,NA,This is a,0.5,These are both,chihuahua,NA,NA,warmup2,NA,NA
2325,What do you think your friend is saying it is big relative to?,NA,images/doberman_filler.png,images/dog-parade-basic_filler.png,35,NA,NA,filler,NA,no,2,dogs1,barbara,NA,NA,yes,Your friend goes ahead of you. You see your friend in the distance:,NA,pred,service-animal,doberman,22,doberman,NA,NA,NA,graduated_high_school,big,NA,english,female,9688,NA,You and your friend see the following:,1,1607628171616,NA,It is big relative to other,NA,0.5,NA,NA,NA,congruent,custom_main_text2,big,Your friend says: <br/><b>That's a big doberman.</b>
2325,What do you think your friend is saying it is big relative to?,NA,images/great-dane.png,images/dog-parade-basic2.png,35,NA,NA,critical,NA,no,2,dogs2,barbara,NA,NA,yes,Your friend goes ahead of you. You see your friend in the distance:,NA,pred,prize-winner,Great Dane,22,great danes,NA,NA,NA,graduated_high_school,big,NA,english,female,14026,NA,You and your friend are at a pet show and you see the following:,2,1607628171616,NA,It is big relative to other,NA,0.5,NA,NA,NA,congruent,custom_main_text2,big,Your friend says: <br/><b>That prize-winner is a big Great Dane.</b>
