submission_id,question,startDate,target_picture,context_picture,experiment_id,trial_type,problems,enjoyment,item,botresponse,trials,option2,option1,understand,text,sentence,syntax,ref_np,target,age,response,comments,education,target_size,name,languages,sex,RT,context,trial_number,startTime,attempts,item_noun,paraphrase,fairprice,correct,adj_cond,trial_name,adj,utterance
2870,<i>What do you think Speaker A meant? </i>,Mon Apr 12 2021 17:06:44 GMT-0400 (Eastern Daylight Time),NA,NA,41,NA,No,1,NA,mary,1,NA,NA,yes,NA,"<b> Speaker A: ""The Empire State Building is tall.""</b>",NA,NA,NA,50,buildings,NA,higher_degree,NA,comp_class_warmup,English,female,NA,In the main trials you will be asked to rephrase something a person said. The utterance will contain a word that is <i>relative</i> and your task is to figure out what it is relative to. <br /> <br /> For example: <br />,1,1618261604560,1,NA,The Empire State Building is tall relative to other,1.25,"buildings, skyscrapers, houses, constructions (choose one)",NA,comp_class_warmup,NA,NA
2870,What do you think your friend is saying it is small relative to?,Mon Apr 12 2021 17:06:44 GMT-0400 (Eastern Daylight Time),images/dandelion-landmark.png,images/flower-parade-basic-landmark.png,41,critical,No,1,flowers,mary,NA,flowers,dandelions,yes,Your friend points to something in the distance (not shown).,NA,pred,landmark,dandelion,50,dandelions,NA,higher_degree,small,NA,English,female,36241,You and your friend walk to a cabin you are renting for the weekend for the first time. You go along the path and you see the following:,1,1618261604560,NA,flowers_landmark,It is small relative to other,1.25,NA,congruent,custom_main_text1,small,Your friend says: <br/><b>That landmark is a small dandelion.</b>
2870,What do you think your friend is saying it is big relative to?,Mon Apr 12 2021 17:06:44 GMT-0400 (Eastern Daylight Time),images/redwood_filler.png,images/tree-parade-basic_filler.png,41,filler,No,1,trees,mary,NA,trees,redwoods,yes,Your friend points to something in the distance (not shown).,NA,pred,landmark,redwood,50,trees,NA,higher_degree,big,NA,English,female,19805,You and your friend see the following:,2,1618261604560,NA,trees_landmark,It is big relative to other,1.25,NA,congruent,custom_main_text1,big,Your friend says: <br/><b>That's a big redwood.</b>
2870,What do you think your friend is saying it is big relative to?,Mon Apr 12 2021 17:06:44 GMT-0400 (Eastern Daylight Time),images/skyscraper-landmark-filler.png,images/buildings-parade-basic_filler.png,41,filler,No,1,buildings,mary,NA,skyscrapers,buildings,yes,Your friend points to something in the distance (not shown).,NA,subj,landmark,skyscraper,50,buildings,NA,higher_degree,big,NA,English,female,11701,You and your friend see the following:,3,1618261604560,NA,buildings_landmark,It is big relative to other,1.25,NA,congruent,custom_main_text1,big,Your friend says: <br/><b>That skyscraper is big.</b>
2870,What do you think your friend is saying it is small relative to?,Mon Apr 12 2021 17:06:44 GMT-0400 (Eastern Daylight Time),images/clownfish_filler.png,images/fish-parade-basic_filler.png,41,filler,No,1,fish,mary,NA,fish,clownfish,yes,Your friend points to something in the distance (not shown).,NA,pred,rescue,clownfish,50,fish,NA,higher_degree,small,NA,English,female,10815,You and your friend see the following:,4,1618261604560,NA,fish_rescue,It is small relative to other,1.25,NA,congruent,custom_main_text1,small,Your friend says: <br/><b>That's a small clownfish.</b>
2870,What do you think your friend is saying it is small relative to?,Mon Apr 12 2021 17:06:44 GMT-0400 (Eastern Daylight Time),images/dandelion_filler.png,images/flower-parade-basic_filler.png,41,filler,No,1,flowers,mary,NA,dandelions,flowers,yes,Your friend points to something in the distance (not shown).,NA,subj,present,dandelion,50,dandelions,NA,higher_degree,small,NA,English,female,26031,You and your friend see the following:,5,1618261604560,NA,flowers_present,It is small relative to other,1.25,NA,congruent,custom_main_text1,small,Your friend says: <br/><b>That dandelion is small.</b>
2870,What do you think your friend is saying it is small relative to?,Mon Apr 12 2021 17:06:44 GMT-0400 (Eastern Daylight Time),images/stripmall-landmark.png,images/buildings-parade-basic.png,41,critical,No,1,buildings,mary,NA,buildings,stripmalls,yes,Your friend points to something in the distance (not shown).,NA,pred,landmark,stripmall,50,buildings,NA,higher_degree,small,NA,English,female,19136,You visit your friend who lives in another city. You take a walk and you see the following:,6,1618261604560,NA,buildings_landmark,It is small relative to other,1.25,NA,congruent,custom_main_text1,small,Your friend says: <br/><b>That landmark is a small stripmall.</b>
2870,What do you think your friend is saying it is big relative to?,Mon Apr 12 2021 17:06:44 GMT-0400 (Eastern Daylight Time),images/sunflower_filler.png,images/flower-parade-basic_filler.png,41,filler,No,1,flowers,mary,NA,sunflowers,flowers,yes,Your friend points to something in the distance (not shown).,NA,subj,landmark,sunflower,50,sunflowers,NA,higher_degree,big,NA,English,female,10521,You and your friend see the following:,7,1618261604560,NA,flowers_landmark,It is big relative to other,1.25,NA,congruent,custom_main_text1,big,Your friend says: <br/><b>That sunflower is big.</b>
2870,What do you think your friend is saying it is small relative to?,Mon Apr 12 2021 17:06:44 GMT-0400 (Eastern Daylight Time),images/hummingbird.png,images/bird-parade-basic.png,41,critical,No,1,birds,mary,NA,hummingbirds,birds,yes,Your friend points to something in the distance (not shown).,NA,subj,rescue,hummingbird,50,birds,NA,higher_degree,small,NA,English,female,21521,You visit your friend who works at an animal shelter and you see the following:,8,1618261604560,NA,birds_rescue,It is small relative to other,1.25,NA,congruent,custom_main_text1,small,Your friend says: <br/><b>That small hummingbird is a rescue.</b>
2870,What do you think your friend is saying it is big relative to?,Mon Apr 12 2021 17:06:44 GMT-0400 (Eastern Daylight Time),images/great-dane.png,images/dog-parade-basic2.png,41,critical,No,1,dogs2,mary,NA,dogs,Great Danes,yes,Your friend points to something in the distance (not shown).,NA,pred,prize-winner,Great Dane,50,Great,NA,higher_degree,big,NA,English,female,22870,You and your friend are at a pet show and you see the following:,9,1618261604560,NA,dogs2_prize,It is big relative to other,1.25,NA,congruent,custom_main_text1,big,Your friend says: <br/><b>That prize-winner is a big Great Dane.</b>
