submission_id,question,response1,sentence_left,context_picture,experiment_id,picture2,correct1,question1,problems,enjoyment,item,botresponse,correct2,pic_spec,understand,text,age,response,comments,ref_spec,picture1,response3,education,target_size,languages,sex,RT,correct3,context,trial_number,startTime,attempts,question3,fairprice,question2,response2,trial_name
282,NA,chihuahua,NA,NA,9,warmup/doberman.png,chihuahua,This is a,No,2,dogs,elizabeth,doberman,NA,yes,Please label the pictures below.,48,NA,None,NA,warmup/chihuahua.jpg,Dogs,graduated_college,NA,English,female,NA,dogs,NA,1,1565987659541,1,This is a,1,These are both,dobermann,warmup1
282,NA,chihuahua,NA,NA,9,warmup/doberman.png,chihuahua,This is a,No,2,dogs,elizabeth,doberman,NA,yes,Please label the pictures below.,48,NA,None,NA,warmup/chihuahua.jpg,Dogs,graduated_college,NA,English,female,NA,dogs,NA,1,1565987659541,2,This is a,1,These are both,doberman,warmup1
282,NA,clipart,NA,NA,9,warmup/sunflower.png,dandelion,This is a,No,2,flowers,elizabeth,sunflower,NA,yes,Please label the pictures below.,48,NA,None,NA,warmup/dandelion.jpg,flowers,graduated_college,NA,English,female,NA,flowers,NA,2,1565987659541,1,This is a,1,These are both,sunflower,warmup1
282,NA,dandelron,NA,NA,9,warmup/sunflower.png,dandelion,This is a,No,2,flowers,elizabeth,sunflower,NA,yes,Please label the pictures below.,48,NA,None,NA,warmup/dandelion.jpg,flowers,graduated_college,NA,English,female,NA,flowers,NA,2,1565987659541,2,This is a,1,These are both,sunflower,warmup1
282,NA,dandelion,NA,NA,9,warmup/sunflower.png,dandelion,This is a,No,2,flowers,elizabeth,sunflower,NA,yes,Please label the pictures below.,48,NA,None,NA,warmup/dandelion.jpg,flowers,graduated_college,NA,English,female,NA,flowers,NA,2,1565987659541,3,This is a,1,These are both,sunflower,warmup1
282,NA,Babby,NA,NA,9,warmup/great-dane.jpg,pug,This is a,No,2,dogs,elizabeth,great dane,NA,yes,Please label the pictures below.,48,NA,None,NA,warmup/pug.jpg,Dogs,graduated_college,NA,English,female,NA,dogs,NA,3,1565987659541,1,This is a,1,These are both,doberman,warmup1
282,NA,pug,NA,NA,9,warmup/great-dane.jpg,pug,This is a,No,2,dogs,elizabeth,great dane,NA,yes,Please label the pictures below.,48,NA,None,NA,warmup/pug.jpg,Dogs,graduated_college,NA,English,female,NA,dogs,NA,3,1565987659541,2,This is a,1,These are both,great dane,warmup1
282,Please rephrase your friend's comment.,NA,It is small relative to other,images/dog-parade-pug.png,9,NA,NA,NA,No,2,dogs2,elizabeth,NA,1,yes,Your friend points to another member of the group which you cannot see and says: <br/><b>That's a small one.</b>,48,dogs,None,1,NA,NA,graduated_college,small,English,female,NA,NA,You and your friend see the following:,1,1565987659541,NA,NA,1,NA,NA,custom_main_text1
282,Please rephrase your friend's comment.,NA,It is big relative to other,images/flower-parade-sunflower.png,9,NA,NA,NA,No,2,flowers,elizabeth,NA,1,yes,Your friend points to another member of the group which you cannot see and says: <br/><b>That's a big one.</b>,48,flowers,None,1,NA,NA,graduated_college,big,English,female,NA,NA,You and your friend see the following:,2,1565987659541,NA,NA,1,NA,NA,custom_main_text1
282,Please rephrase your friend's comment.,NA,It is small relative to other,images/dog-parade-basic.png,9,NA,NA,NA,No,2,dogs1,elizabeth,NA,0,yes,Your friend points to another member of the group which you cannot see and says: <br/><b>That's a small chihuahua.</b>,48,dogs,None,0,NA,NA,graduated_college,small,English,female,NA,NA,You and your friend see the following:,3,1565987659541,NA,NA,1,NA,NA,custom_main_text1
